Id;Response_Market_Index;PROD_Formula;PER_sex;PER_Sex_Second_Driver;VEH_Actual_Value;CLA_HISTORY;CLA_HISTORY_1Y;CLA_HISTORY_3Y;CLA_BM_TPL_DECLARED;BEH_Mileage;PER_KIDS_ON_BOARD_ID;VEH_Number_of_doors;VEH_Top_Speed;BEH_Number_Year_Insured;VEH_TransmissionId;PER_Age_Main_Driver;PER_License_Age_Main_Driver;PER_License_Age_Second_Driver;PER_Matrimonial_Status;VEH_Age;VEH_Injection_Mode;VEH_fuel_type;BEH_vehicule_usage;VEH_Drive_type;VEH_Body;VEH_Segment;PER_Parking_Type;CLA_BM;VEH_engine_HP;VEH_pw_proportion;VEH_High_Risk_Vehicle;PER_previous_insurer;PER_Is_second_driver;PER_Age_oldest_child;PER_Second_Driver_Age;PER_Insured_Before;VEH_Weight;GEO_Lat;GEO_Long
1638099;435;BASIC;2;0;4600;1;1;1;1;13;3;4;160;10;7;59;31;-1;2;15;389999;1;1;50001;9;30003;3;10;90;59;2;5;1;-99;-1;2;1125;-1.79087637490741;-0.431146590227563
1657342;609;FULL;1;0;68315;1;1;1;2;15;1;5;248;6;7;32;15;-1;2;3;380002;1;1;50002;9;30005;1;6;218;106;2;17;1;2;-1;2;1510;1.67582362509258;-4.43114659022756
1657529;609;FULL;1;0;68315;1;1;1;2;15;1;5;248;6;7;32;15;-1;2;3;380002;1;1;50002;9;30005;1;6;218;106;2;17;1;2;-1;2;1510;1.67582362509258;-4.43114659022756
1662071;404;FULL;1;2;11005;1;1;1;2;14;1;5;173;7;7;31;7;12;2;8;380002;1;1;50001;9;30002;3;7;80;51;2;6;2;1;31;2;1170;-0.440876374907418;1.28555340977244
1662074;404;FULL;1;2;11005;1;1;1;2;14;1;5;173;7;7;31;7;12;2;8;380002;1;1;50001;9;30002;3;7;80;51;2;6;2;1;31;2;1170;-0.440876374907418;1.28555340977244
1662081;319;FULL;1;0;6410;1;1;1;1;13;2;5;173;10;7;41;23;-1;2;11;380008;2;1;50001;9;30003;2;10;102;60;2;17;1;18;-1;1;1250;0.00912362509258458;-0.931146590227563
1662100;404;FULL;1;2;11005;1;1;1;2;14;1;5;173;7;7;31;7;12;2;8;380002;1;1;50001;9;30002;3;7;80;51;2;6;2;1;31;2;1170;-0.440876374907418;1.28555340977244
1662180;309;BASIC;1;0;2700;1;1;1;1;13;1;5;188;6;7;36;17;-1;2;15;389999;1;1;50001;9;30003;2;6;100;61;2;7;1;11;-1;1;1221;-1.44087637490742;0.152253409772435
1662186;289;FULL;1;0;34560;1;1;1;1;14;3;5;164;10;7;60;34;-1;2;0;380008;2;1;50001;10;30002;2;10;75;54;2;5;1;-99;-1;2;1033;-1.87417637490741;0.202253409772435
1662220;306;BASIC;1;0;1300;1;1;1;1;13;3;5;176;9;7;39;20;-1;1;20;389999;2;1;50001;9;30005;2;9;88;49;2;29;1;-99;-1;1;1330;-1.30757637490741;-2.36444659022757
1662221;289;FULL;1;0;34560;1;1;1;1;14;3;5;164;10;7;60;34;-1;2;0;380008;2;1;50001;10;30002;2;10;75;54;2;5;1;-99;-1;2;1033;-1.87417637490741;0.202253409772435
1662222;989;BASIC;2;0;43365;1;1;1;7;12;3;2;220;2;7;26;2;-1;1;6;380001;1;1;50001;3;30003;2;2;160;79;2;2;1;-99;-1;1;1500;1.59242362509259;-3.96444659022756
1662223;411.76;BASIC;1;0;7600;1;1;1;1;14;1;5;192;10;7;41;24;-1;2;16;389999;2;1;50001;9;30005;3;10;110;64;2;27;1;12;-1;2;1285;1.44242362509259;3.08555340977244
